city,year,population,gdp_per_capita_eur,population_density
Madrid,2013,3207247.0,30300.0,885.8
Madrid,2014,3165235.0,30800.0,885.8
Madrid,2015,4852911.0,32300.0,885.8
Madrid,2016,4878277.0,33300.0,885.8
Madrid,2017,4904291.0,34600.0,885.8
Madrid,2018,4955432.0,35600.0,885.8
Madrid,2019,5012504.0,36600.0,885.8
Madrid,2020,5098717.0,32900.0,885.8
Madrid,2021,5055735.0,35700.0,885.8
Madrid,2022,5030132.0,39200.0,885.8
Madrid,2023,5115272.0,42600.0,885.8
Madrid,2024,4501429.0,,885.8
Barcelona,2013,3190951.0,26000.0,767.2
Barcelona,2014,3176357.0,26600.0,767.2
Barcelona,2015,3610906.0,27800.0,767.2
Barcelona,2016,3624554.0,28900.0,767.2
Barcelona,2017,3648483.0,30200.0,767.2
Barcelona,2018,3665687.0,31100.0,767.2
Barcelona,2019,3701270.0,31900.0,767.2
Barcelona,2020,3755512.0,28400.0,767.2
Barcelona,2021,3719096.0,30600.0,767.2
Barcelona,2022,3720333.0,33300.0,767.2
Barcelona,2023,3767382.0,35900.0,767.2
Barcelona,2024,2658830.0,,767.2
Paris,2013,10040889.0,90900.0,20147.8
Paris,2014,10096326.0,92500.0,20147.8
Paris,2015,10138695.0,94700.0,20147.8
Paris,2016,10163539.0,96900.0,20147.8
Paris,2017,10211741.0,100200.0,20147.8
Paris,2018,10240964.0,104800.0,20147.8
Paris,2019,10277625.0,109500.0,20147.8
Paris,2020,10274884.0,102000.0,20147.8
Paris,2021,10306512.0,112400.0,20147.8
Paris,2022,10353710.0,123100.0,20147.8
Paris,2023,,125300.0,20147.8
Paris,2024,,133700.0,20147.8
Lyon,2013,938024.0,42100.0,596.6
Lyon,2014,942910.0,42500.0,596.6
Lyon,2015,943913.0,43400.0,596.6
Lyon,2016,946093.0,44100.0,596.6
Lyon,2017,948173.0,45300.0,596.6
Lyon,2018,951461.0,47200.0,596.6
Lyon,2019,955906.0,48200.0,596.6
Lyon,2020,957748.0,45600.0,596.6
Lyon,2021,962193.0,49900.0,596.6
Lyon,2022,966750.0,51700.0,596.6
Lyon,2023,,55700.0,596.6
Lyon,2024,,57600.0,596.6
Berlin,2013,3375222.0,34400.0,4342.6
Berlin,2014,3421829.0,35800.0,4342.6
Berlin,2015,3469849.0,37500.0,4342.6
Berlin,2016,3520031.0,39000.0,4342.6
Berlin,2017,3574830.0,40900.0,4342.6
Berlin,2018,3613495.0,42900.0,4342.6
Berlin,2019,3644826.0,44800.0,4342.6
Berlin,2020,3669491.0,44700.0,4342.6
Berlin,2021,3664088.0,48200.0,4342.6
Berlin,2022,3677472.0,51700.0,4342.6
Berlin,2023,3755251.0,54700.0,4342.6
Berlin,2024,3662381.0,,4342.6
Hamburg,2013,1734272.0,61300.0,2615.6
Hamburg,2014,1746342.0,62300.0,2615.6
Hamburg,2015,1762791.0,64400.0,2615.6
Hamburg,2016,1787408.0,65000.0,2615.6
Hamburg,2017,1810438.0,68100.0,2615.6
Hamburg,2018,1830584.0,69300.0,2615.6
Hamburg,2019,1841179.0,72400.0,2615.6
Hamburg,2020,1847253.0,69200.0,2615.6
Hamburg,2021,1852478.0,77000.0,2615.6
Hamburg,2022,1853935.0,87000.0,2615.6
Hamburg,2023,1892122.0,84200.0,2615.6
Hamburg,2024,1851596.0,,2615.6
Munich,2013,1024373.0,70000.0,4828.6
Munich,2014,1034175.0,72100.0,4828.6
Munich,2015,1046680.0,74700.0,4828.6
Munich,2016,1060582.0,77500.0,4828.6
Munich,2017,1075935.0,82300.0,4828.6
Munich,2018,1080394.0,83400.0,4828.6
Munich,2019,1085664.0,86500.0,4828.6
Munich,2020,1087863.0,83500.0,4828.6
Munich,2021,1083498.0,90800.0,4828.6
Munich,2022,1073096.0,96000.0,4828.6
Munich,2023,1084831.0,100900.0,4828.6
Munich,2024,1024408.0,,4828.6
Rome,2013,2638842.0,37500.0,800.0
Rome,2014,2863322.0,37400.0,800.0
Rome,2015,2872021.0,37200.0,800.0
Rome,2016,2864731.0,38800.0,800.0
Rome,2017,2873494.0,39200.0,800.0
Rome,2018,2872800.0,39700.0,800.0
Rome,2019,2820219.0,40400.0,800.0
Rome,2020,2808293.0,37300.0,800.0
Rome,2021,2770226.0,40000.0,800.0
Rome,2022,2749031.0,45000.0,800.0
Rome,2023,2755309.0,47600.0,800.0
Rome,2024,2751747.0,,800.0
Milan,2013,3925767.0,50900.0,2080.7
Milan,2014,4038864.0,51600.0,2080.7
Milan,2015,4061382.0,52900.0,2080.7
Milan,2016,4074585.0,54500.0,2080.7
Milan,2017,4087060.0,55500.0,2080.7
Milan,2018,4106356.0,57000.0,2080.7
Milan,2019,3606653.0,56900.0,2080.7
Milan,2020,3622641.0,54200.0,2080.7
Milan,2021,3594765.0,61500.0,2080.7
Milan,2022,3565691.0,66600.0,2080.7
Milan,2023,3580530.0,71200.0,2080.7
Milan,2024,3564724.0,,2080.7
Naples,2013,3055339.0,17800.0,2527.5
Naples,2014,3127390.0,18100.0,2527.5
Naples,2015,3118149.0,18500.0,2527.5
