city,road_length_total_km,motorway_length_km,road_density_km_per_km2,street_lamp_count,building_count,building_area_km2,landuse_residential_km2,landuse_commercial_km2,landuse_industrial_km2,landuse_retail_km2,park_area_km2,forest_area_km2,water_area_km2,nature_reserve_area_km2,green_area_total_km2,built_up_fraction,green_fraction,buffer_area_km2
Madrid,17859.2,0.0,9.1103,27551,308421.0,120.609,417.1153,13.7931,107.4535,7.0707,92.8381,439.5132,15.8902,1133.9917,1666.343,0.127,0.85,1960.34
Barcelona,13870.99,0.0,7.0758,52632,244229.0,92.2672,224.0067,7.9866,99.3814,1.4775,27.7481,569.4442,8.7068,601.2876,1198.4799,0.1026,0.6114,1960.34
Paris,31494.62,1633.48,16.0659,89999,1844611.0,102.062,1186.6623,27.5458,114.6902,21.5037,120.3682,647.8973,48.9304,10.5619,778.8274,0.1356,0.3973,1960.34
Lyon,20360.65,797.85,10.3863,44069,606092.0,44.9986,416.1948,6.9188,87.7068,6.4916,17.8022,466.2178,80.8835,20.221,504.241,0.0745,0.2572,1960.34
Berlin,19874.57,788.32,10.1383,107730,758659.0,66.2794,557.3301,59.0503,47.048,15.3675,65.1516,802.8425,91.0731,90.7053,958.6994,0.0958,0.489,1960.34
Hamburg,17480.33,711.23,8.917,27127,543074.0,50.887,457.1132,41.6739,64.438,9.3715,35.5766,416.1899,104.7399,259.1945,710.961,0.0849,0.3627,1960.34
Munich,15927.55,896.69,8.1249,38014,475106.0,49.615,342.731,39.1925,25.7948,5.405,39.9509,881.3394,86.011,116.3909,1037.6812,0.0612,0.5293,1960.34
Rome,19010.14,827.97,9.6974,13377,298495.0,52.2274,278.3178,10.0421,43.4679,3.8602,60.7512,364.0538,79.7747,1572.6714,1997.4764,0.0559,1.0189,1960.34
Milan,22888.57,1208.32,11.6758,8705,373584.0,57.7818,415.1375,11.9502,161.3867,13.5107,75.0656,224.0241,46.5799,1171.1052,1470.1949,0.1248,0.75,1960.34
Naples,16617.13,1093.57,8.4767,5294,311728.0,48.4763,192.2473,4.4629,45.2976,1.4932,11.6937,244.767,9.1322,363.1885,619.6492,0.0509,0.3161,1960.34
