city,country,country_code,year,lat,lon,mean_brightness,median_brightness,max_brightness,pixel_count
Madrid,Spain,ES,2013,40.4168,-3.7038,31.44710825017108,11.488771678265168,233.34959411621097,10514
Barcelona,Spain,ES,2013,41.3851,2.1734,19.692574177113624,2.8941574345818273,305.18072509765625,10661
Paris,France,FR,2013,48.8566,2.3522,31.72520843023488,27.45019375728541,195.90481567382812,12147
Lyon,France,FR,2013,45.764,4.8357,10.68616238538673,3.4656046921219397,226.1318817138672,11475
Berlin,Germany,DE,2013,52.52,13.405,8.787159761791953,4.242936876407529,110.55889129638672,13148
Hamburg,Germany,DE,2013,53.5511,9.9937,6.580639819542619,2.446204562414858,200.41549682617188,13453
Munich,Germany,DE,2013,48.1351,11.582,4.415249358274828,0.6794923349948079,261.4201354980469,11985
Rome,Italy,IT,2013,41.9028,12.4964,18.162282287253817,8.464958984963271,163.8950653076172,10755
Milan,Italy,IT,2013,45.4642,9.19,21.17171385386321,14.504680788159996,236.3074188232422,11411
Naples,Italy,IT,2013,40.8518,14.2681,14.240778602439594,5.496685947691741,205.82470703125,10571
Amsterdam,Netherlands,NL,2013,52.3676,4.9041,12.811043619240191,2.6053978134829605,1729.307861328125,13101
Rotterdam,Netherlands,NL,2013,51.9244,4.4777,71.94540207489236,18.085106632861095,16522.5703125,12962
Brussels,Belgium,BE,2013,50.8503,4.3517,11.658381111981916,6.467113465189291,158.56387329101562,12665
Vienna,Austria,AT,2013,48.2082,16.3738,5.623407465436934,1.4157878161899384,167.2079315185547,12011
Prague,Czech Republic,CZ,2013,50.0755,14.4378,7.098452209799242,2.4595457499622664,136.43133544921875,12460
Warsaw,Poland,PL,2013,52.2297,21.0122,14.777515528399665,6.493042826302633,236.8345642089844,13043
Budapest,Hungary,HU,2013,47.4979,19.0402,8.086930473846929,2.7382219518826143,125.37958526611328,11847
Copenhagen,Denmark,DK,2013,55.6761,12.5683,4.309673652344273,0.0044721949061142,113.17952728271484,14179
Stockholm,Sweden,SE,2013,59.3293,18.0686,13.912600931577138,5.722068506710219,590.9270629882812,15670
Oslo,Norway,NO,2013,59.9139,10.7522,10.39575626453567,3.498311938059154,241.6997985839844,15931
Helsinki,Finland,FI,2013,60.1699,24.9384,14.695108398080087,2.4652548742705087,213.1481781005859,16060
Lisbon,Portugal,PT,2013,38.7223,-9.1393,20.462932114472785,6.482619048998668,197.46739196777344,10245
Porto,Portugal,PT,2013,41.1579,-8.6291,12.089561866953009,4.495487417626315,131.3865509033203,10621
Athens,Greece,GR,2013,37.9838,23.7275,17.80815653019247,4.470579405838343,222.04595947265625,10152
Dublin,Ireland,IE,2013,53.3498,-6.2603,6.716243424645396,1.425630864314057,157.5485382080078,13398
Bucharest,Romania,RO,2013,44.4268,26.1025,7.1791843066538945,1.4335572897844002,218.4299468994141,11205
Sofia,Bulgaria,BG,2013,42.6977,23.3219,4.0921542948462735,0.238464108175863,134.892822265625,10885
Zagreb,Croatia,HR,2013,45.815,15.9819,8.108203391406402,3.455931657250294,131.26544189453125,11476
Tallinn,Estonia,EE,2013,59.437,24.7536,5.172847157226422,0.1090873679065902,175.70834350585938,15717
Riga,Latvia,LV,2013,56.9496,24.1052,4.70189888822552,0.1604763107351576,149.10047912597656,14647
Madrid,Spain,ES,2014,40.4168,-3.7038,30.66185502992597,11.455034807887424,190.10150146484375,10514
Barcelona,Spain,ES,2014,41.3851,2.1734,18.95762340550237,2.912886884007713,294.0947265625,10661
Paris,France,FR,2014,48.8566,2.3522,32.28938547065129,28.499668475347256,254.82833862304688,12147
Lyon,France,FR,2014,45.764,4.8357,10.633993851644718,3.4757569981296372,195.6879425048828,11475
Berlin,Germany,DE,2014,52.52,13.405,8.060206845713108,3.4757695877015893,157.6066131591797,13148
Hamburg,Germany,DE,2014,53.5511,9.9937,6.159759538946834,1.4060229020855683,181.25624084472656,13453
Munich,Germany,DE,2014,48.1351,11.582,4.229850756841604,1.4209976816127554,231.58299255371097,11985
Rome,Italy,IT,2014,41.9028,12.4964,17.94456131336924,8.476823977996052,179.14073181152344,10755
Milan,Italy,IT,2014,45.4642,9.19,19.997396228545597,14.477820256713514,176.1581268310547,11411
Naples,Italy,IT,2014,40.8518,14.2681,14.455418204793368,6.495696240906142,210.6055145263672,10571
Amsterdam,Netherlands,NL,2014,52.3676,4.9041,12.525683292539805,4.247372828158529,2154.014404296875,13101
Rotterdam,Netherlands,NL,2014,51.9244,4.4777,71.00246777982069,18.634707431154435,19508.052734375,12962
Brussels,Belgium,BE,2014,50.8503,4.3517,12.0596490992947,6.494238261710356,199.7820587158203,12665
Vienna,Austria,AT,2014,48.2082,16.3738,6.046856357008913,1.4166946264609852,186.69845581054688,12011
Prague,Czech Republic,CZ,2014,50.0755,14.4378,7.107212759802336,2.234713802102154,127.4056625366211,12460
Warsaw,Poland,PL,2014,52.2297,21.0122,13.19991206181084,5.481116699523778,225.5839385986328,13043
Budapest,Hungary,HU,2014,47.4979,19.0402,7.822292340417459,2.463702260655908,142.93397521972656,11847
Copenhagen,Denmark,DK,2014,55.6761,12.5683,4.356192637135353,0.0019157161720513,105.3934555053711,14179
Stockholm,Sweden,SE,2014,59.3293,18.0686,12.418205994221449,1.48879176458929,765.0855102539062,15670
Oslo,Norway,NO,2014,59.9139,10.7522,8.374610953255027,0.1144573432432608,346.9372863769531,15931
Helsinki,Finland,FI,2014,60.1699,24.9384,12.159868210744202,1.4648922805745823,241.34471130371097,16060
Lisbon,Portugal,PT,2014,38.7223,-9.1393,20.18296471309012,6.478038741809166,170.12449645996094,10245
Porto,Portugal,PT,2014,41.1579,-8.6291,12.262335611108217,4.495030110791402,144.0466766357422,10621
Athens,Greece,GR,2014,37.9838,23.7275,17.65967027756767,4.886696341404226,281.2422180175781,10152
Dublin,Ireland,IE,2014,53.3498,-6.2603,7.640538210644947,1.416547112121742,151.55860900878906,13398
Bucharest,Romania,RO,2014,44.4268,26.1025,7.302036542500232,1.427655576306048,179.8977813720703,11205
Sofia,Bulgaria,BG,2014,42.6977,23.3219,4.0815081402234705,0.7436577314775104,114.35476684570312,10885
Zagreb,Croatia,HR,2014,45.815,15.9819,8.578123377533126,2.451735951434589,142.04823303222656,11476
Tallinn,Estonia,EE,2014,59.437,24.7536,4.045066977763332,0.1213643384923776,135.27552795410156,15717
Riga,Latvia,LV,2014,56.9496,24.1052,3.8593288905481966,0.1471287386928899,229.0720672607422,14647
Madrid,Spain,ES,2015,40.4168,-3.7038,26.171002069101025,10.509905453726338,196.0336151123047,10514
Barcelona,Spain,ES,2015,41.3851,2.1734,18.563546706406584,2.921204698439883,259.5339660644531,10661
Paris,France,FR,2015,48.8566,2.3522,33.77185217104467,29.496872773737344,255.9061279296875,12147
Lyon,France,FR,2015,45.764,4.8357,10.134423595614036,3.481342726756244,245.60043334960935,11475
Berlin,Germany,DE,2015,52.52,13.405,8.150694001814525,3.4776697786638735,151.1832275390625,13148
Hamburg,Germany,DE,2015,53.5511,9.9937,6.219166811456463,1.407347310010965,174.11900329589844,13453
Munich,Germany,DE,2015,48.1351,11.582,4.278402660395822,1.4194342179409185,211.0967712402344,11985
Rome,Italy,IT,2015,41.9028,12.4964,17.81014908422642,8.504197840014054,185.18588256835935,10755
Milan,Italy,IT,2015,45.4642,9.19,19.274624658541537,14.521506519456988,210.2626953125,11411
Naples,Italy,IT,2015,40.8518,14.2681,14.411426624301049,6.489320794043896,189.1475372314453,10571
Amsterdam,Netherlands,NL,2015,52.3676,4.9041,12.013433157469168,2.52831025840913,1925.0196533203125,13101
Rotterdam,Netherlands,NL,2015,51.9244,4.4777,65.53638034227875,14.726731758124458,15102.14453125,12962
Brussels,Belgium,BE,2015,50.8503,4.3517,11.712803818486652,6.493406137655028,247.24163818359375,12665
Vienna,Austria,AT,2015,48.2082,16.3738,5.940791789915105,1.4180391007934845,179.21998596191406,12011
Prague,Czech Republic,CZ,2015,50.0755,14.4378,7.112816223029014,2.4560595445107873,132.485107421875,12460
Warsaw,Poland,PL,2015,52.2297,21.0122,12.192906379738156,5.49321050608729,214.7471923828125,13043
Budapest,Hungary,HU,2015,47.4979,19.0402,7.631263101219378,2.4651332643998267,130.4945831298828,11847
Copenhagen,Denmark,DK,2015,55.6761,12.5683,4.000023749253462,0.0034606395492869,98.15447998046876,14179
